#ENCODE_data_set,TF_name,JASPAR2014_matrix_id
wgEncodeAwgTfbsSydhHepg2Mafksc477IggrabUniPk,MAFK,MA0496.1
wgEncodeAwgTfbsSydhHepg2MaxIggrabUniPk,MAX,MA0058.2
wgEncodeAwgTfbsSydhHepg2Nrf1IggrabUniPk,NRF1,MA0506.1
wgEncodeAwgTfbsSydhHepg2Rfx5200401194IggrabUniPk,RFX5,MA0510.1
wgEncodeAwgTfbsSydhHepg2TbpIggrabUniPk,TBP,MA0108.2
wgEncodeAwgTfbsSydhHepg2Tcf7l2UcdUniPk,TCF7L2,MA0523.1
wgEncodeAwgTfbsSydhHepg2Usf2IggrabUniPk,USF2,MA0526.1
wgEncodeAwgTfbsSydhHuvecCfosUcdUniPk,FOS,MA0476.1
wgEncodeAwgTfbsSydhHuvecCjunUniPk,JUN::FOS,MA0099.2
wgEncodeAwgTfbsSydhHuvecGata2UcdUniPk,GATA2,MA0036.2
wgEncodeAwgTfbsSydhHuvecMaxUniPk,MAX,MA0058.2
wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk,CEBPB,MA0466.1
wgEncodeAwgTfbsSydhImr90CtcfbIggrabUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsSydhImr90MafkIggrabUniPk,MAFK,MA0496.1
wgEncodeAwgTfbsSydhK562Arid3asc8821IggrabUniPk,ARID3A,MA0151.1
wgEncodeAwgTfbsSydhK562Bach1sc14700IggrabUniPk,BACH1::MAFK,MA0591.1
wgEncodeAwgTfbsSydhK562Bhlhe40nb100IggrabUniPk,BHLHE40,MA0464.1
wgEncodeAwgTfbsSydhK562CebpbIggrabUniPk,CEBPB,MA0466.1
wgEncodeAwgTfbsSydhK562CfosUniPk,FOS,MA0476.1
wgEncodeAwgTfbsSydhK562CjunIfna30UniPk,JUN::FOS,MA0099.2
wgEncodeAwgTfbsSydhK562CjunIfna6hUniPk,JUN::FOS,MA0099.2
wgEncodeAwgTfbsSydhK562CjunIfng30UniPk,JUN::FOS,MA0099.2
wgEncodeAwgTfbsSydhK562CjunIfng6hUniPk,JUN::FOS,MA0099.2
wgEncodeAwgTfbsSydhK562CjunUniPk,JUN::FOS,MA0099.2
wgEncodeAwgTfbsSydhK562CmycIfna30UniPk,MYC,MA0147.2
wgEncodeAwgTfbsSydhK562CmycIfna6hUniPk,MYC,MA0147.2
wgEncodeAwgTfbsSydhK562CmycIfng30UniPk,MYC,MA0147.2
wgEncodeAwgTfbsSydhK562CmycIfng6hUniPk,MYC,MA0147.2
wgEncodeAwgTfbsSydhK562CmycIggrabUniPk,MYC,MA0147.2
wgEncodeAwgTfbsSydhK562CmycUniPk,MYC,MA0147.2
wgEncodeAwgTfbsSydhK562CtcfbIggrabUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsSydhK562E2f4UcdUniPk,E2F4,MA0470.1
wgEncodeAwgTfbsSydhK562E2f6UcdUniPk,E2F6,MA0471.1
wgEncodeAwgTfbsSydhK562Elk112771IggrabUniPk,ELK1,MA0028.1
wgEncodeAwgTfbsSydhK562Gata1UcdUniPk,GATA1,MA0035.3
wgEncodeAwgTfbsSydhK562Gata2UcdUniPk,GATA2,MA0036.2
wgEncodeAwgTfbsSydhK562Irf1Ifna30UniPk,IRF1,MA0050.2
wgEncodeAwgTfbsSydhK562Irf1Ifna6hUniPk,IRF1,MA0050.2
wgEncodeAwgTfbsSydhK562Irf1Ifng30UniPk,IRF1,MA0050.2
wgEncodeAwgTfbsSydhK562Irf1Ifng6hUniPk,IRF1,MA0050.2
wgEncodeAwgTfbsSydhK562JundIggrabUniPk,JUND,MA0491.1
wgEncodeAwgTfbsSydhK562MaffIggrabUniPk,MAFF,MA0495.1
wgEncodeAwgTfbsSydhK562Mafkab50322IggrabUniPk,MAFK,MA0496.1
wgEncodeAwgTfbsSydhK562MaxIggrabUniPk,MAX,MA0058.2
wgEncodeAwgTfbsSydhK562Nfe2UniPk,NFE2::MAX,MA0501.1
wgEncodeAwgTfbsSydhK562NfyaUniPk,NFYA,MA0060.2
wgEncodeAwgTfbsSydhK562NfybUniPk,NFYB,MA0502.1
wgEncodeAwgTfbsSydhK562Nrf1IggrabUniPk,NRF1,MA0506.1
wgEncodeAwgTfbsSydhK562Rfx5IggrabUniPk,RFX5,MA0510.1
wgEncodeAwgTfbsSydhK562Stat1Ifna30UniPk,STAT1,MA0137.3
wgEncodeAwgTfbsSydhK562Stat1Ifna6hUniPk,STAT1,MA0137.3
wgEncodeAwgTfbsSydhK562Stat1Ifng30UniPk,STAT1,MA0137.3
wgEncodeAwgTfbsSydhK562Stat1Ifng6hUniPk,STAT1,MA0137.3
wgEncodeAwgTfbsSydhK562Stat2Ifna30UniPk,STAT2::STAT1,MA0517.1
wgEncodeAwgTfbsSydhK562Stat2Ifna6hUniPk,STAT2::STAT1,MA0517.1
wgEncodeAwgTfbsSydhK562TbpIggmusUniPk,TBP,MA0108.2
wgEncodeAwgTfbsSydhK562Usf2IggrabUniPk,USF2,MA0526.1
wgEncodeAwgTfbsSydhK562Yy1UcdUniPk,YY1,MA0095.2
wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk,ZNF143,MA0088.1
wgEncodeAwgTfbsSydhK562Znf263UcdUniPk,ZNF263,MA0528.1
wgEncodeAwgTfbsSydhMcf10aesCfosEtoh01HvdUniPk,FOS,MA0476.1
wgEncodeAwgTfbsSydhMcf10aesCfosTam112hHvdUniPk,FOS,MA0476.1
wgEncodeAwgTfbsSydhMcf10aesCfosTam14hHvdUniPk,FOS,MA0476.1
wgEncodeAwgTfbsSydhMcf10aesCfosTamHvdUniPk,FOS,MA0476.1
wgEncodeAwgTfbsSydhMcf10aesCmycEtoh01HvdUniPk,MYC,MA0147.2
wgEncodeAwgTfbsSydhMcf10aesCmycTam14hHvdUniPk,MYC,MA0147.2
wgEncodeAwgTfbsSydhMcf10aesE2f4TamHvdUniPk,E2F4,MA0470.1
